rate,title,category,count,brief,author
,青年电影手册, 图书 / 非虚构 ,1,"这是一本电影文化类图书，是综合了电影评论、人物访谈、文化事件等多元的文艺类图书。这次出版的是第四辑，每一期各自独立。主要内容包括与导演姜文的对话——让梦想继续飞；香港电影专题是本…
",

9.2,艺伎回忆录, 图书 / 虚构 ,25,"二十世纪初，家境贫寒的千代年仅九岁就被父亲卖入京都祇园地区一家艺伎馆“新田艺馆”。她美丽的蓝灰色眼睛招致艺馆头牌艺伎初桃的嫉妒，为她在艺伎训练期间带来重重阻碍。直至千代躲进祇园名…
",

,还珠格格：第三部之天上人间（上）, 图书 / 虚构 ,,"小燕子和永琪之间出现了第三者？这对欢喜冤家与江南才女知画间的三角难题要如何解开？晴儿和萧剑相爱卻不能相守，两人痛苦不已，他们要选择分手，还是不顾一切地私奔，从此亡命天涯？…… …
",

,异乡人.5，遥远的重逢, 图书 / 虚构 ,6,"◆全球畅销数十年，多次占领《纽约时报》畅销榜第1名 1991年第一部面世以来，已经陆续出版了八部长篇小说，出版三十多个语种，全球持续畅销。 ◆改编美剧《古战场传奇》持续热播 2014年美…
",

,法国中尉的女人, 图书 / 虚构 ,,"查尔斯无数次地回忆起，他们的第一次相遇。 堤岸边，她面海而立，黑色的衣裙随风飘动，人却如雕像般纹丝不动，仿佛在凝视着大海，又仿佛只是凝视着虚空。 查尔斯认出了她。她是小镇人口中的…
",

7.4,失落的秘符, 图书 / 虚构 ,15,"哈佛大学符号学家罗伯特·兰登意外受邀，于当晚前往华盛顿美国国会大厦做一个讲座。就在兰登到达的几分钟内，事情发生了匪夷所思的变化。国会大厦里出现了一件令人惊恐之物——一只人手，三根…
",

,风和日丽, 图书 / 虚构 ,9,"本书已被改编为同名电视剧（马伊俐主演），各地电视台正在播出。 《风和日丽》将建国以来的历史作为小说的背景展示给读者，从杨小翼的个人命运出发，将个人命运与历史相融合。它同时也是一个…
",

,刺客信条：大革命, 图书 / 虚构 ,8,"基于育碧娱乐软件公司的畅销游戏“刺客信条：大革命”改编。 1789年，宏伟壮丽的巴黎城迎来了法国大革命的开端，人民奋起抗击压迫他们的贵族阶级。鲜红的血液在鹅卵石铺就的街道上流淌，但正…
",

8.4,伯恩的身份：《谍影重重》电影原著小说, 图书 / 虚构 ,11,"他没有过去，也可能不再会有未来。他只知道自己被人从地中海捞起时，身上遍布了弹孔。他动过整容手术，臀部皮下还藏着微型胶片，其内容是一组数字……这些线索引领他来到了苏黎世银行，却发现…
",

,刺客信条：秘密圣战, 图书 / 虚构 ,10,"马可·波罗的父亲，尼科洛·波罗终于道出其保守一生的秘密——阿泰尔的过去，兄弟会最为传奇的一位刺客的人生历程。 阿泰尔接下了一项无比艰巨的任务——这不仅需要他走遍圣地每一个角落，…
",

,成为简·奥斯丁, 图书 / 非虚构 ,3,"简•奥斯丁，她是莫扎特般的女人，自儿时便展露出的才华让她的一生注定不凡；她是暗夜的精灵，用羽毛笔描画出闪烁于夜空的爱的流星。如果命运让一个女子夺目，她不是美貌就是多才，而简集貌…
",

,影视悬疑小说精选（全13册）, 图书 / 虚构 ,,"此套装包含：张翰、曾志伟主演网剧《十宗罪》原著：《罪全书前传》《罪全书》《罪全书2》《罪全书3》《罪全书5》，张若昀、焦俊艳主演《法医秦明》电视剧原著系列：《幸存者》《清道夫》《尸…
",

,荣誉：影片《法国中尉的女人》读解, 图书 / 非虚构 ,,"在北京电影学院有一门各系学生必修的课程：“影片分析课”。该课受到学生们的热烈欢迎。本书是该课主讲教员的部分讲义。 本书是一部影片读解著作，作者以其深厚的电影功力和对电影制作的深入…
",

,丛林之书, 图书 / 虚构 ,,"◆这是中文版《丛林之书》应该有的样子，我们按照吉卜林文字的深度和广度尽力将它还原。 ◆遵从1895年初版，20万字完整译本，收录全部15个篇目。 ◆最年轻诺贝尔文学奖得主吉卜林代表作。 …
",

,奇爱博士, 图书 / 虚构 ,6,"美国空军将领昆腾将军怀疑苏联人的共产主义思想正在通过各种方式“荼毒”善良天真的美国人民。利用美国空军作战计划中的漏洞，昆腾将军成功地避开了美国政府，在美国总统和美国人民毫不知情的…
",

,我和厄尔以及将死的女孩, 图书 / 虚构 ,3,"高中生格雷格，十七岁，性格善良却有点孤僻。生活准则是低调行事，不交朋友，也绝不在学校惹麻烦。他唯一的爱好是与死党厄尔一起拍摄短片，改编他们喜爱的经典电影，梦想有一天拍摄出属于他们…
",

,上海王, 图书 / 虚构 ,6,"《上海王》是著名作家虹影“重写海上花三部曲”（《上海王》《上海之死》《上海魔术师》）中的第一部，讲述了清末民初上海一位传奇女子的故事。 父母双亡的乡下丫头小月桂被卖身妓馆，鸨母新…
",

,荣誉：影片《骗术大全》读解, 图书 / 非虚构 ,1,"在北京电影学院有一门各系学生必修的课程：“影片分析课”。该课受到学生们的热烈欢迎。本书是该课主讲教员的部分讲义。 本书是一部影片读解著作，作者以其深厚的电影功力和对电影制作的深入…
",

,隧道（同名韩国电影原著小说）, 图书 / 虚构 ,4,"韩国普通工薪族李正洙驾车途中被困豆腐渣工程的隧道里，救援工作进展缓慢，李正洙的妻子追问隧道施工单位，查出他们的行贿记录，事态越来越严重，政府和施工单位却互相推诿。李正洙在隧道里焦…
",

,刺客信条, 图书 / 虚构 ,7,"狂销七千五百万套！ 全球销量最高动作冒险类游戏，刺客信条电影官方小说唯一授权中文版全国上市！ 2017年2月24日，本书将随刺客信条官方电影同步上市！ 好莱坞科幻巨作赞誉公映！ 刺客信…
",

,唐山大地震, 图书 / 虚构 ,1,"作品以女主角王小灯为中心，小灯本名叫小登，七岁那年，无情的唐山大地震把她本该天真无忧的童年残酷地震碎，也把她此后30年的人生震得支离破碎。此后30年，小灯一直处于逃跑状态，最终只能一…
",

